ServerName,Service
DGVMAUXDIAPD01,iFormID(PROD50)IQDIA1
DGVMAUXDIAPD01,iOCR(PROD50)IQDIA1
DGVMAUXDIAPD01,iPostExc(PROD50)IQDIA1
DGVMAUXDIAPD01,iPostOCR(PROD50)IQDIA1
DGVMAUXDIAPD01,iPreKFI(PROD50)IQDIA1
DGVMAUXDIAPD01,iPurgeDMS(PROD50)IQDIA1
DGVMAUXDIAPD01,iPurgeRBE(PROD50)IQDIA1
DGVMAUXDIAPD02,iFormID(PROD50)IQDIA2
DGVMAUXDIAPD02,iOCR(PROD50)IQDIA2
DGVMAUXDIAPD02,iPostExc(PROD50)IQDIA2
DGVMAUXDIAPD02,iPostOCR(PROD50)IQDIA2
DGVMAUXDIAPD02,iPreKFI(PROD50)IQDIA2
DGVMAUXDIAPD02,iPurgeRBE(PROD50)IQDIA2
DGVMAUXIDXPD01,iIDXDX01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID04(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID05(PROD50)IQDX1
DGVMAUXIDXPD01,iOCR(PROD50)IQDX1
DGVMAUXIDXPD02,iIDXDX01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX02(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID04(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID05(PROD50)IQDX2
DGVMAUXUIAPD01,iExportDMS(PROD50)IQUIA1
DGVMAUXUIAPD01,iExportIIF(PROD50)IQUIA1
DGVMAUXUIAPD01,iFormID(PROD50)IQUIA1
DGVMAUXUIAPD01,iPostProc(PROD50)IQUIA1
DGVMAUXUIAPD01,iPurgeDMS(PROD50)IQUIA1
